"LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","QV2M","T2M","T2MWET","WS2M","ALLSKY_SFC_UV_INDEX","T2MDEW","TS","ALLSKY_SFC_UVB","ALLSKY_SFC_UVA","T2M_RANGE","RH2M","CLRSKY_SFC_SW_DWN"
-97.82271,30.28156,2013,9,4,247,2013-09-04,13.79,31.03,24.82,2.02,2.02,18.61,32.71,0.4,15.58,12.55,50.38,6.74
-97.804455,30.185737,2013,9,4,247,2013-09-04,15.26,31.12,25.81,2.23,2.02,20.5,32.79,0.4,15.58,11.59,56.19,6.74
-97.790237,30.4497,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.678986,30.257018,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.71009,30.389389,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.733029,30.392147,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.717781,30.381504,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.770494,30.248277,2013,9,4,247,2013-09-04,15.26,31.12,25.81,2.23,2.02,20.5,32.79,0.4,15.58,11.59,56.19,6.74
-97.673901,30.351703,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.675319,30.345423,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.667952,30.429877,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.749092,30.308037,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.670265,30.333336,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.708443,30.361618,2013,9,4,247,2013-09-04,14.59,31.43,25.6,1.98,2.02,19.77,33.05,0.4,15.58,12.29,52.69,6.74
-97.837366,30.298771,2013,9,4,247,2013-09-04,13.79,31.03,24.82,2.02,2.02,18.61,32.71,0.4,15.58,12.55,50.38,6.74
