time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_atm,sensor_index,latitude,longitude,altitude
2024-01-26T06:00:00Z,71.156,57.428,989.845,11.2,18.588,2796,30.276873,-97.83731,726
2024-03-02T18:00:00Z,33.433,87.672,986.697,6.2,9.57,2796,30.276873,-97.83731,726
2024-02-21T06:00:00Z,66.45,69.267,993.534,6.2,9.972000000000001,2796,30.276873,-97.83731,726
2024-03-05T00:00:00Z,50.545,82.339,982.265,17.1,28.477,2796,30.276873,-97.83731,726
2024-02-27T00:00:00Z,62.066,78.322,982.805,14.5,24.378500000000003,2796,30.276873,-97.83731,726
2024-03-10T06:00:00Z,49.206,56.1,996.553,3.2,5.0120000000000005,2796,30.276873,-97.83731,726
2024-03-10T12:00:00Z,39.039,64.445,998.698,2.4,3.2735,2796,30.276873,-97.83731,726
2024-02-07T12:00:00Z,54.746,61.008,989.208,8.2,13.6735,2796,30.276873,-97.83731,726
2024-02-08T12:00:00Z,61.294,71.428,988.822,5.0,7.9495000000000005,2796,30.276873,-97.83731,726
2024-02-19T18:00:00Z,32.011,74.667,992.102,3.1,4.645,2796,30.276873,-97.83731,726
2024-01-31T06:00:00Z,51.172,57.434,995.471,2.2,3.202,2796,30.276873,-97.83731,726
2024-02-24T12:00:00Z,34.883,73.806,995.231,1.4,1.4220000000000002,2796,30.276873,-97.83731,726
2024-02-02T18:00:00Z,70.711,71.339,980.747,5.1,7.992,2796,30.276873,-97.83731,726
2024-02-02T00:00:00Z,55.695,70.225,987.096,3.5,5.343,2796,30.276873,-97.83731,726
2024-02-20T00:00:00Z,42.711,66.439,993.319,4.6,7.3260000000000005,2796,30.276873,-97.83731,726
2024-02-20T12:00:00Z,48.895,66.578,996.113,7.3,11.932500000000001,2796,30.276873,-97.83731,726
2024-02-25T18:00:00Z,35.465,90.111,986.542,6.3,9.598,2796,30.276873,-97.83731,726
2024-03-08T00:00:00Z,69.128,76.417,978.374,10.8,17.8485,2796,30.276873,-97.83731,726
2024-02-10T12:00:00Z,68.189,69.961,984.407,4.6,7.0095,2796,30.276873,-97.83731,726
2024-02-10T06:00:00Z,69.206,73.383,984.872,7.8,12.5415,2796,30.276873,-97.83731,726
2024-02-14T12:00:00Z,51.01,59.831,994.662,3.2,4.7285,2796,30.276873,-97.83731,726
2024-02-14T18:00:00Z,45.006,71.922,992.284,1.9,2.5055,2796,30.276873,-97.83731,726
2024-03-13T12:00:00Z,65.389,75.806,984.205,3.4,4.948,2796,30.276873,-97.83731,726
2024-01-29T12:00:00Z,44.0,63.444,1000.774,1.7,2.1365,2796,30.276873,-97.83731,726
2024-02-12T06:00:00Z,52.294,50.861,990.25,1.1,1.1099999999999999,2796,30.276873,-97.83731,726
2024-03-03T12:00:00Z,59.344,75.45,986.588,11.1,18.394,2796,30.276873,-97.83731,726
2024-02-15T12:00:00Z,60.706,70.466,994.399,4.4,6.831,2796,30.276873,-97.83731,726
2024-02-15T06:00:00Z,62.35,67.322,993.049,7.8,13.202,2796,30.276873,-97.83731,726
2024-03-11T06:00:00Z,41.445,64.783,994.959,2.1,2.9165,2796,30.276873,-97.83731,726
2024-02-01T18:00:00Z,43.065,78.568,988.672,3.1,4.6825,2796,30.276873,-97.83731,726
2024-02-01T00:00:00Z,39.917,67.611,994.481,2.7,4.018,2796,30.276873,-97.83731,726
2024-03-06T18:00:00Z,42.067,86.411,983.129,13.8,22.96,2796,30.276873,-97.83731,726
2024-03-06T00:00:00Z,31.511,78.228,982.882,1.7,1.9585000000000001,2796,30.276873,-97.83731,726
2024-02-13T06:00:00Z,56.622,46.972,994.156,1.9,2.4995000000000003,2796,30.276873,-97.83731,726
2024-02-18T18:00:00Z,21.8,65.011,994.729,1.4,1.5775000000000001,2796,30.276873,-97.83731,726
2024-02-18T06:00:00Z,42.45,45.305,999.042,2.0,2.6595,2796,30.276873,-97.83731,726
2024-01-28T12:00:00Z,47.144,60.522,1003.109,2.2,2.9485,2796,30.276873,-97.83731,726
2024-01-28T18:00:00Z,27.55,76.932,1001.187,0.8,0.595,2796,30.276873,-97.83731,726
2024-02-04T00:00:00Z,46.362,65.059,975.149,1.7,2.0955,2796,30.276873,-97.83731,726
2024-02-04T18:00:00Z,34.606,73.75,979.231,1.6,1.8555000000000001,2796,30.276873,-97.83731,726
2024-02-04T12:00:00Z,30.552,69.107,976.408,0.7,0.3125,2796,30.276873,-97.83731,726
2024-02-28T12:00:00Z,33.534,61.261,993.867,2.2,2.8945,2796,30.276873,-97.83731,726
2024-02-16T12:00:00Z,57.306,71.296,988.634,2.2,2.768,2796,30.276873,-97.83731,726
2024-02-16T00:00:00Z,59.9,72.525,990.599,6.1,9.7135,2796,30.276873,-97.83731,726
2024-02-09T12:00:00Z,65.35,73.389,986.971,19.4,31.0465,2796,30.276873,-97.83731,726
2024-02-09T18:00:00Z,52.365,80.75,985.63,18.7,30.6425,2796,30.276873,-97.83731,726
2024-01-27T18:00:00Z,41.017,68.645,996.076,0.9,0.7575000000000001,2796,30.276873,-97.83731,726
2024-01-27T12:00:00Z,60.244,58.728,996.805,1.1,1.249,2796,30.276873,-97.83731,726
2024-02-17T18:00:00Z,39.971,51.929,996.629,3.2,4.9935,2796,30.276873,-97.83731,726
2024-02-22T06:00:00Z,62.422,72.35,985.064,5.5,8.6585,2796,30.276873,-97.83731,726
2024-02-22T12:00:00Z,56.622,78.056,984.801,8.5,13.715499999999999,2796,30.276873,-97.83731,726
2024-02-03T18:00:00Z,29.134,79.692,974.8,0.4,0.0545,2796,30.276873,-97.83731,726
2024-01-30T00:00:00Z,37.172,67.323,996.883,2.5,3.6025,2796,30.276873,-97.83731,726
2024-01-30T18:00:00Z,22.922,84.026,994.691,1.2,1.1920000000000002,2796,30.276873,-97.83731,726
2024-01-30T12:00:00Z,44.611,64.655,997.219,2.3,3.248,2796,30.276873,-97.83731,726
2024-03-02T00:00:00Z,51.183,67.205,990.242,8.7,14.561,2796,30.276873,-97.83731,726
2024-03-02T06:00:00Z,60.211,61.25,989.923,10.0,16.788,2796,30.276873,-97.83731,726
2024-02-21T18:00:00Z,50.933,79.517,988.89,5.9,9.48,2796,30.276873,-97.83731,726
2024-03-05T18:00:00Z,16.967,98.072,981.729,2.3,2.24,2796,30.276873,-97.83731,726
2024-03-05T06:00:00Z,60.322,72.722,982.33,19.1,31.262999999999998,2796,30.276873,-97.83731,726
2024-02-27T18:00:00Z,51.55,85.572,979.252,23.5,35.8435,2796,30.276873,-97.83731,726
2024-02-26T00:00:00Z,49.95,80.211,987.166,7.2,11.881499999999999,2796,30.276873,-97.83731,726
2024-03-10T00:00:00Z,41.083,63.489,995.348,3.7,5.08,2796,30.276873,-97.83731,726
2024-03-14T06:00:00Z,72.017,76.339,980.405,16.1,26.8075,2796,30.276873,-97.83731,726
2024-03-14T12:00:00Z,67.95,78.728,981.76,19.7,31.463500000000003,2796,30.276873,-97.83731,726
2024-02-07T06:00:00Z,51.273,58.572,990.337,6.6,10.889,2796,30.276873,-97.83731,726
2024-02-07T18:00:00Z,48.304,71.649,985.632,2.8,3.96,2796,30.276873,-97.83731,726
2024-02-19T12:00:00Z,39.127,58.418,994.612,2.8,4.0455000000000005,2796,30.276873,-97.83731,726
2024-01-31T12:00:00Z,40.483,68.217,996.909,2.1,2.8120000000000003,2796,30.276873,-97.83731,726
