SPECIES,DIAMETER,LONGITUDE,LATITUDE
Oak,21.0,-97.85459200008282,30.21751899978342
Oak,19.0,-97.85479100013235,30.21752300014611
Texas Mountain Laurel,6.0,-97.85481800043236,30.217574000112265
Persimmon,4.0,-97.85483199951744,30.217587000025105
Pistache,14.0,-97.85458900040818,30.217657999620375
Pistache,11.0,-97.85454000025389,30.217667999931994
Oak,14.0,-97.85440800042993,30.21775800014742
Oak,42.0,-97.85489900050763,30.217782999560946
Texas Mountain Laurel,5.0,-97.85501699996377,30.21780200031848
Chitalpa,11.0,-97.85512800024114,30.217920000393992
Pistache,11.0,-97.85514799966516,30.217952999839753
Pistache,13.0,-97.85464800005634,30.217961000004994
Chitalpa,13.0,-97.85512599999007,30.21797799962257
Pistache,12.0,-97.85491799988243,30.21797900041551
Oak,16.0,-97.85451299999438,30.218032999691957
Oak,16.0,-97.85451299999438,30.218032999691957
Ash,5.0,-97.8552529996731,30.21808900041509
Ash,8.0,-97.85523699995777,30.218106999739906
Pear,7.0,-97.85478499963493,30.218118999807647
Oak,6.0,-97.855194999487,30.21812100037168
Oak,8.0,-97.85514799970142,30.2181260001862
Ash,1.5,-97.85509599969545,30.218129000238232
Ash,8.0,-97.85501999967286,30.2181530001543
Elm,13.0,-97.85453100006455,30.21816199956957
Elm,8.0,-97.85476799976092,30.218197999817477
Oak,4.0,-97.8547990003288,30.218226000445377
Elm,9.0,-97.85468599952375,30.21824199967178
Sugarberry,10.0,-97.85447799988162,30.218242999770354
Elm,8.0,-97.85445599952952,30.218260000388337
Texas Mountain Laurel,12.0,-97.85475500012232,30.218271000138873
Elm,9.0,-97.85465200028933,30.218355999987587
Elm,8.0,-97.85447000020865,30.218378000316314
Texas Mountain Laurel,9.0,-97.8546309998828,30.218443999866896
Elm,6.0,-97.85443000002294,30.218507000045534
Elm,10.0,-97.85460099949505,30.21859100041634
Elm,8.0,-97.85441999952224,30.21862299966854
Elm,9.0,-97.85460600031952,30.218658000416056
Oak,16.0,-97.85442599952742,30.21867599971526
Oak,18.0,-97.85459199982876,30.218693999885694
Texas Mountain Laurel,8.0,-97.85443600047311,30.218695000291284
Oak,35.0,-97.74252599961733,30.219843000422944
Yaupon Holly,4.0,-97.70112799976391,30.228953999549926
Sugarberry,17.0,-97.70110499984003,30.22896199990444
Crape Myrtle,15.0,-97.70139900021627,30.229009000110914
Oak,5.0,-97.70105000018067,30.22901700003885
Crape Myrtle,19.0,-97.70136999976798,30.229024000330522
Yaupon Holly,8.0,-97.70098399960422,30.22903099972109
Juniper Species,12.0,-97.70100000044252,30.22903400042364
Elm,4.0,-97.70161999997481,30.22904200038101
Juniper Species,5.0,-97.7009720000806,30.229059999959695
Oak,5.0,-97.70114900041692,30.22908200038347
Pecan,12.0,-97.7014460002435,30.22908399983402
Oak,5.0,-97.70111499970112,30.229180000296
Elm,4.0,-97.70169999954481,30.229195000126293
Oak,11.0,-97.70682499990043,30.229199999556524
Elm,3.0,-97.70145999999593,30.22923299963006
Oak,19.0,-97.70122600011433,30.22923599994888
Mulberry,11.0,-97.70668700019013,30.22933900022882
Oak,13.0,-97.70676000002727,30.229358000067844
Redbud,6.0,-97.70669600032062,30.22942499966521
Redbud,7.0,-97.70669500001667,30.229446000192716
